impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-115394,A574900,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Ember,Cat,12 YEARS 7 MONTHS,Neutered Male,Domestic Shorthair,Gray / White,02/16/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574900,Image Copyright HLP Inc. 2019,"Received on: 2019-02-16<p/> Description: Gray / White Neutered Male Domestic Shorthair Cat<p/> Age: 12 YEARS 7 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Ember and I am available for adoption.<p/><p/>I was brought in by a good samaritan on 11/16/18.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>",GREEN
K19-116468,A572679,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Addie,Cat,8 YEARS 8 MONTHS,Spayed Female,Siamese / Mix,Lynx Pt / White,04/13/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A572679,Image Copyright HLP Inc. 2019,"Received on: 2019-04-13<p/> Description: Lynx Pt / White Spayed Female Siamese / Mix Cat<p/> Age: 8 YEARS 8 MONTHS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Addie and I am available for adoption.<p/><p/>I was brought in by a good samaritan on October 23rd, 2018.<p/><p/>I'm quiet at first but with some yummy treats and pets, we will be best friends in no time! my favorite thing to do is snuggle up on your lap! I enjoy doing quiet activities and living in a quiet home. <p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K19-116742,A583750,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A583750,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Oreo,Cat,10 YEARS 2 MONTHS,Neutered Male,Domestic Shorthair,Black / White,04/26/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A583750,Image Copyright HLP Inc. 2019,"Received on: 2019-04-26<p/> Description: Black / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 10 YEARS 2 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Oreo and I am available for adoption.<p/><p/>I was brought in by my previous owner onApril 26, 209 because there is too much activity in that home. I really like to have consistency and calmness in my home. I lived in a home with other cats and a large dog. I also have lived with younger and older kids. My previous owner described me as playful and affectionate.  They feel that I make an excellent indoor/outdoor cat, but I need to be supervised outside and would probably enjoy being on a harness.  I like to play with string toys and will bat at them when you play with me.  I am super sweet and I like to be petted a lot but I'm not very interested in being picked up.  <p/><p/>My owners noticed that whenever new people would come over to my house, I would get stressed and urinate outside of my litter box. They used to provide me a room to myself with all of my stuff in it, but they had to move to a smaller place and I lost that space.  They feel that I would have good litter box habits again if I had the ability to do my business in private and didn't have as much chaos in my life.  I'm looking for the perfect home that can provide that stability for me!<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/><p/>",BLUE
K19-116766,A548731,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Gyda,Cat,9 YEARS 6 MONTHS,Spayed Female,Domestic Shorthair,Dilute Tor / Gray,04/27/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,TUKWILA,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A548731,Image Copyright HLP Inc. 2019,"Received on: 2019-04-27<p/> Description: Dilute Tor / Gray Spayed Female Domestic Shorthair Cat<p/> Age: 9 YEARS 6 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Gyda and I am available for adoption.<p/><p/>I was brought in by my previous owner on April 27, 2019 because I was not a good fit for a small child. I like consistency and adults or older kids can provide that, but I'm not a fan of little kids.  <p/><p/>I'm very sweet but I can get overstimulated at times. I like to be petted but I do have some boundaries that I need to have met.  I'm looking for a perfect home that can provide a nice, quiet space for me!<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",RED
K19-116886,A480900,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A480900,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Chester,Cat,13 YEARS 8 MONTHS,Neutered Male,Domestic Shorthair,Org Tabby / White,05/02/2019 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A480900,Image Copyright HLP Inc. 2019,"Received on: 2019-05-02<p/> Description: Org Tabby / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 13 YEARS 8 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p/>Hi! My name is Chester and I am available for adoption. I was brought in by my previous owner on 5/2/19 because I did not get along with baby in the house. My previous family said I am fun boy with a dog-like personality. I am a loving boy and according to my owner ""every stranger is a friend he just hasn't met yet.""<p/><p/>I lived in a home with other cats and young children, but it was not a good fit for me. I may do best as the only cat in my new home and I may prefer a home without children. <p/><p/>I am an affectionate lovebug, but I can also be an independent kitty who likes to do my own thing! If we can find the right balance between the two we will get along just fine. I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",RED
K19-117351,A579459,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A579459,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Whiskers,Cat,6 YEARS 5 MONTHS,Spayed Female,Domestic Shorthair,Black / White,05/20/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579459,Image Copyright HLP Inc. 2019,"Received on: 2019-05-20<p/> Description: Black / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 6 YEARS 5 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Whiskers and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on May 20th, 2019.<p/><p/>I'm a sweet lady who loves a nice and relaxing home to call my own that I can chill out and retire in. I love to snuggle up in bed, on the couch, or even on someones lap, it doesn't matter to me as long as I get to have a family and a person to call my own. I actually came in with Precious and would love to continue my journey with her.  We are what you would call a bonded pair and would need to be adopted together. My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K19-117384,A585341,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Yogi,Cat,7 YEARS 1 MONTH,Neutered Male,Domestic Shorthair,Black / White,05/21/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585341,Image Copyright HLP Inc. 2019,"Received on: 2019-05-21<p/> Description: Black / White Neutered Male Domestic Shorthair Cat<p/> Age: 7 YEARS 1 MONTH<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Yogi and I am available for adoption.<p/><p/>I was brought in by a good samaritan on May 21, 2019. <p/><p/>I am a giant bear with huge cheeks and a stubby tail! I am super duper sweet and I enjoy getting pet on my neck and head!  I was injured when I came into the shelter but I'm healing up just fine and ready to find my permanent home where I can take over the couch and love on my people!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>This cat has tested positive for Feline Immunodeficiency Virus (FIV). Cats with FIV can still live fulfilling lives, but extra care may be required. This cat should live indoors only.<p/> <p/>Please visit this page for more information: http://www.vet.cornell.edu/fhc/Health_Information/brochure_fiv.cfm<p/><p/><p/>",GREEN
K19-117594,A585801,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Reverend Francis,Cat,10 WEEKS,Neutered Male,Domestic Shorthair,Black / White,05/28/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585801,Image Copyright HLP Inc. 2019,Received on: 2019-05-28<p/> Description: Black / White Neutered Male Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/><p/>,
K19-117595,A585802,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,14 WEEKS,Neutered Male,Domestic Shorthair,Black / White,05/28/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585802,Image Copyright HLP Inc. 2019,Received on: 2019-05-28<p/> Description: Black / White Neutered Male Domestic Shorthair Cat<p/> Age: 14 WEEKS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/><p/>,
K19-117593,A585800,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Papyrus,Cat,10 WEEKS,Spayed Female,Domestic Shorthair,Black / White,05/28/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585800,Image Copyright HLP Inc. 2019,Received on: 2019-05-28<p/> Description: Black / White Spayed Female Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/><p/>,
K19-117591,A585798,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Pj,Cat,10 WEEKS,Spayed Female,Domestic Shorthair,Brn Tabby / White,05/28/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A585798,Image Copyright HLP Inc. 2019,Received on: 2019-05-28<p/> Description: Brn Tabby / White Spayed Female Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/><p/>,
